source,target,rating
3659174697238739,1970324837383878,8
3659174697238708,1970324837383878,9
3659174697238736,1970324837383878,7
3659174697238705,1970324837383878,6
3659174697238734,1970324837383878,10
3659174697238703,1970324837383878,8
3659174697238730,1970324837383878,9
3659174697238699,1970324837383878,7
3659174697238711,1970324837383878,6
3659174697238680,1970324837383878,9
3659174697238709,1970324837383878,8
3659174697238678,1970324837383878,9
3659174697238727,1970324837383882,7
3659174697238696,1970324837383882,6
3659174697238737,1970324837383886,10
3659174697238706,1970324837383886,8
3659174697238735,1970324837383886,9
3659174697238704,1970324837383886,7
3659174697238729,1970324837383860,6
3659174697238698,1970324837383860,9
3659174697238713,1970324837383860,8
3659174697238682,1970324837383860,9
3659174697238732,1970324837383861,7
3659174697238701,1970324837383861,6
3659174697238728,1970324837383861,10
3659174697238697,1970324837383861,8
3659174697238726,1970324837383861,9
3659174697238695,1970324837383861,7
3659174697238728,1970324837383862,6
3659174697238697,1970324837383862,9
3659174697238726,1970324837383862,8
3659174697238695,1970324837383862,9
3659174697238721,1970324837383862,7
3659174697238690,1970324837383862,6
3659174697238714,1970324837383862,10
3659174697238683,1970324837383862,8
3659174697238725,1970324837383864,9
3659174697238694,1970324837383864,7
3659174697238723,1970324837383864,6
3659174697238692,1970324837383864,9
3659174697238717,1970324837383864,8
3659174697238686,1970324837383864,9
3659174697238716,1970324837383864,7
3659174697238685,1970324837383864,6
3659174697238727,1970324837383865,10
3659174697238696,1970324837383865,8
3659174697238737,1970324837383866,9
3659174697238706,1970324837383866,7
3659174697238722,1970324837383866,6
3659174697238691,1970324837383866,9
3659174697238715,1970324837383866,8
3659174697238684,1970324837383866,9
3659174697238714,1970324837383866,7
3659174697238683,1970324837383866,6
3659174697238716,1970324837383867,10
3659174697238685,1970324837383867,8
3659174697238725,1970324837383870,9
3659174697238694,1970324837383870,7
3659174697238723,1970324837383870,6
3659174697238692,1970324837383870,9
3659174697238710,1970324837383870,8
3659174697238679,1970324837383870,9
3659174697238738,1970324837383871,7
3659174697238707,1970324837383871,6
3659174697238719,1970324837383871,10
3659174697238688,1970324837383871,8
3659174697238733,1970324837383872,9
3659174697238702,1970324837383872,7
3659174697238724,1970324837383872,6
3659174697238693,1970324837383872,9
3659174697238732,1970324837383873,8
3659174697238701,1970324837383873,9
3659174697238731,1970324837383873,7
3659174697238700,1970324837383873,6
3659174697238739,1970324837383874,10
3659174697238708,1970324837383874,8
3659174697238738,1970324837383874,9
3659174697238707,1970324837383874,7
3659174697238731,1970324837383874,6
3659174697238700,1970324837383874,9
3659174697238719,1970324837383874,8
3659174697238688,1970324837383874,9
3659174697238718,1970324837383874,7
3659174697238687,1970324837383874,6
3659174697238730,1970324837383875,10
3659174697238699,1970324837383875,8
3659174697238720,1970324837383875,9
3659174697238689,1970324837383875,7
3659174697238718,1970324837383875,6
3659174697238687,1970324837383875,9
3659174697238712,1970324837383875,8
3659174697238681,1970324837383875,9
3659174697238711,1970324837383875,7
3659174697238680,1970324837383875,6
3659174697238734,1970324837383877,10
3659174697238703,1970324837383877,8
3659174697238732,1970324837383877,9
3659174697238701,1970324837383877,7
